epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4051,1.45918,2.241,1.63461,0.64188,0.55646,0.60871,0.28734,1.60567,2.41583,1.99654,0.000474128,0.000474128,0.000474128
2,143.89,1.51406,1.81407,1.65465,0.72112,0.58438,0.65258,0.32608,1.67893,1.85537,1.9549,0.000941052,0.000941052,0.000941052
3,216.054,1.54349,1.64347,1.65963,0.70404,0.62332,0.69718,0.34413,1.67212,1.65152,1.99866,0.00139854,0.00139854,0.00139854
4,288.295,1.5213,1.52796,1.63393,0.75482,0.67521,0.74862,0.38707,1.61109,1.53571,1.89523,0.00138656,0.00138656,0.00138656
5,360.459,1.49229,1.43589,1.62127,0.75739,0.69999,0.76363,0.38974,1.59468,1.3852,1.86325,0.00137241,0.00137241,0.00137241
6,432.658,1.46011,1.37472,1.60358,0.78936,0.65472,0.74694,0.39458,1.58322,1.37307,1.86051,0.00135826,0.00135826,0.00135826
7,504.734,1.43878,1.35145,1.58868,0.80917,0.66876,0.75995,0.41002,1.54773,1.29579,1.83293,0.00134412,0.00134412,0.00134412
8,576.874,1.42474,1.32079,1.57931,0.78583,0.69788,0.75875,0.40437,1.59698,1.26704,1.87954,0.00132997,0.00132997,0.00132997
9,649.242,1.40997,1.27394,1.54883,0.79061,0.70615,0.78644,0.43227,1.52893,1.20973,1.78767,0.00131582,0.00131582,0.00131582
10,721.593,1.37565,1.24963,1.54844,0.80327,0.71646,0.79161,0.44404,1.4992,1.2109,1.80887,0.00130168,0.00130168,0.00130168
11,794.083,1.36972,1.21879,1.52241,0.80575,0.71145,0.78368,0.44475,1.49761,1.16017,1.78623,0.00128753,0.00128753,0.00128753
12,866.565,1.33882,1.19927,1.50367,0.80097,0.71658,0.79098,0.44748,1.4847,1.15356,1.7649,0.00127338,0.00127338,0.00127338
13,938.775,1.36816,1.21006,1.52344,0.80656,0.71031,0.79542,0.44945,1.48072,1.16744,1.76934,0.00125923,0.00125923,0.00125923
14,1010.91,1.35138,1.17127,1.50465,0.81847,0.7161,0.80536,0.46149,1.44338,1.1217,1.71482,0.00124509,0.00124509,0.00124509
15,1082.96,1.3148,1.15331,1.49078,0.77651,0.72461,0.80079,0.46061,1.47364,1.13316,1.7297,0.00123094,0.00123094,0.00123094
16,1155.2,1.3219,1.15943,1.50159,0.82565,0.72437,0.80064,0.45781,1.47115,1.12901,1.75376,0.00121679,0.00121679,0.00121679
17,1227.29,1.30649,1.13372,1.48713,0.78258,0.72153,0.77728,0.45382,1.44617,1.11716,1.71718,0.00120265,0.00120265,0.00120265
18,1299.42,1.30601,1.12259,1.48124,0.83842,0.71677,0.80685,0.46526,1.43613,1.11373,1.70317,0.0011885,0.0011885,0.0011885
19,1371.54,1.30522,1.11221,1.47543,0.83294,0.73453,0.80888,0.47433,1.45154,1.08665,1.72762,0.00117435,0.00117435,0.00117435
20,1443.69,1.29383,1.11438,1.47213,0.85364,0.7091,0.81412,0.46968,1.46911,1.08837,1.73309,0.00116021,0.00116021,0.00116021
21,1515.71,1.284,1.0882,1.46429,0.83729,0.73801,0.8196,0.48303,1.44278,1.03282,1.69998,0.00114606,0.00114606,0.00114606
22,1587.9,1.28066,1.08379,1.4628,0.82197,0.73389,0.8101,0.47784,1.42795,1.07633,1.68203,0.00113191,0.00113191,0.00113191
23,1659.82,1.2763,1.06962,1.44916,0.81707,0.70734,0.81177,0.47651,1.41084,1.08559,1.66182,0.00111776,0.00111776,0.00111776
24,1731.77,1.26878,1.08167,1.45582,0.83185,0.71845,0.81165,0.47424,1.42904,1.07416,1.69933,0.00110362,0.00110362,0.00110362
25,1803.64,1.23904,1.05278,1.43922,0.85099,0.72412,0.81768,0.4797,1.42678,1.05494,1.69893,0.00108947,0.00108947,0.00108947
26,1875.86,1.25057,1.05617,1.43824,0.80506,0.72742,0.8054,0.47753,1.43362,1.06991,1.72039,0.00107532,0.00107532,0.00107532
27,1947.95,1.24248,1.03498,1.43054,0.82289,0.73783,0.80887,0.47264,1.43783,1.05714,1.7247,0.00106118,0.00106118,0.00106118
28,2020.04,1.23033,1.02698,1.427,0.80498,0.74155,0.80802,0.47951,1.43875,1.05781,1.7062,0.00104703,0.00104703,0.00104703
29,2091.95,1.23272,1.01194,1.43057,0.83294,0.72011,0.80742,0.48229,1.40047,1.05048,1.67566,0.00103288,0.00103288,0.00103288
30,2163.95,1.21927,1.00853,1.41541,0.81822,0.75214,0.82322,0.49536,1.3958,1.03473,1.68081,0.00101873,0.00101873,0.00101873
31,2235.88,1.22011,1.00233,1.42215,0.8309,0.73318,0.81683,0.49232,1.41556,1.01071,1.67839,0.00100459,0.00100459,0.00100459
32,2308.07,1.21476,0.98178,1.41004,0.81194,0.7439,0.81432,0.48825,1.39165,1.01671,1.67173,0.00099044,0.00099044,0.00099044
33,2380.09,1.20223,0.98268,1.4154,0.84514,0.74025,0.82836,0.4935,1.40958,1.00511,1.68297,0.000976293,0.000976293,0.000976293
34,2452.11,1.19249,0.97598,1.40747,0.8159,0.74195,0.80527,0.47842,1.43304,1.02698,1.7053,0.000962146,0.000962146,0.000962146
35,2524.1,1.20521,0.98523,1.41229,0.83214,0.73867,0.81537,0.4903,1.37651,1.03181,1.66123,0.000947999,0.000947999,0.000947999
36,2595.83,1.18725,0.9754,1.39859,0.85103,0.73982,0.82283,0.49458,1.40645,0.98442,1.68668,0.000933851,0.000933851,0.000933851
37,2667.76,1.19466,0.96264,1.3965,0.80716,0.76263,0.8186,0.49517,1.40888,0.98903,1.66292,0.000919704,0.000919704,0.000919704
38,2739.92,1.18368,0.96293,1.39824,0.83073,0.74584,0.8179,0.49148,1.39678,1.00556,1.6665,0.000905557,0.000905557,0.000905557
39,2812.28,1.1833,0.95736,1.39408,0.84122,0.7374,0.82035,0.4942,1.39909,0.99889,1.67122,0.00089141,0.00089141,0.00089141
40,2884.36,1.17219,0.96503,1.38621,0.84051,0.75376,0.82898,0.49455,1.38144,1.00048,1.64924,0.000877263,0.000877263,0.000877263
41,2956.47,1.17362,0.9483,1.38962,0.83044,0.74967,0.8225,0.49752,1.39203,0.99049,1.65842,0.000863116,0.000863116,0.000863116
42,3028.53,1.15758,0.95025,1.37887,0.8377,0.74095,0.81856,0.49676,1.3768,0.99155,1.64955,0.000848969,0.000848969,0.000848969
43,3100.33,1.15963,0.92572,1.37716,0.81423,0.76213,0.82596,0.49833,1.38004,0.97486,1.64159,0.000834822,0.000834822,0.000834822
44,3172.54,1.15972,0.92298,1.37384,0.84057,0.75306,0.82892,0.50756,1.37362,0.98511,1.64084,0.000820675,0.000820675,0.000820675
45,3244.35,1.15117,0.92262,1.37682,0.84926,0.75275,0.83331,0.4999,1.39095,0.97863,1.65781,0.000806528,0.000806528,0.000806528
46,3316.51,1.15899,0.92232,1.37496,0.86007,0.73687,0.83081,0.50349,1.37557,0.97379,1.63712,0.00079238,0.00079238,0.00079238
47,3388.53,1.14689,0.915,1.36828,0.81589,0.75601,0.81964,0.4983,1.40438,0.97272,1.67883,0.000778233,0.000778233,0.000778233
48,3460.46,1.15193,0.92322,1.37153,0.82677,0.75184,0.82381,0.50471,1.38153,0.97847,1.65684,0.000764086,0.000764086,0.000764086
49,3532.27,1.13868,0.90356,1.36286,0.85065,0.72938,0.82049,0.50282,1.40089,0.9593,1.67764,0.000749939,0.000749939,0.000749939
50,3603.89,1.13515,0.8991,1.35588,0.84671,0.74626,0.81816,0.50477,1.39801,0.93869,1.65687,0.000735792,0.000735792,0.000735792
51,3675.89,1.14498,0.90771,1.36657,0.83546,0.75196,0.82064,0.49631,1.38628,0.95976,1.66406,0.000721645,0.000721645,0.000721645
52,3747.94,1.13045,0.89032,1.34714,0.83721,0.74772,0.82481,0.49752,1.39039,0.97966,1.65826,0.000707498,0.000707498,0.000707498
53,3820.13,1.13218,0.90263,1.34563,0.83703,0.75016,0.82623,0.50752,1.3785,0.95434,1.64712,0.000693351,0.000693351,0.000693351
54,3892.1,1.12364,0.89669,1.34559,0.86331,0.72865,0.82357,0.50636,1.39766,0.95921,1.67839,0.000679204,0.000679204,0.000679204
55,3964.11,1.12445,0.89344,1.35361,0.82985,0.74613,0.82251,0.50581,1.38844,0.96003,1.65287,0.000665057,0.000665057,0.000665057
