epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5205,1.42937,2.23786,1.59417,0.63395,0.63195,0.65263,0.34068,1.56629,2.38703,1.91529,0.000474253,0.000474253,0.000474253
2,192.216,1.50924,1.7836,1.62317,0.71542,0.61994,0.69348,0.36183,1.58807,1.8703,1.90977,0.000941176,0.000941176,0.000941176
3,284.462,1.55222,1.63726,1.64175,0.7101,0.65767,0.70676,0.36228,1.65436,1.62403,1.99883,0.00139867,0.00139867,0.00139867
4,375.779,1.50809,1.4996,1.62537,0.79486,0.63677,0.73,0.36725,1.66734,1.482,2.02153,0.00138656,0.00138656,0.00138656
5,467.292,1.48539,1.42762,1.59506,0.77417,0.69448,0.75738,0.39222,1.66285,1.39629,1.92009,0.00137241,0.00137241,0.00137241
6,557.97,1.44978,1.39048,1.58345,0.77747,0.67829,0.76039,0.41208,1.59965,1.39944,1.87703,0.00135826,0.00135826,0.00135826
7,648.2,1.45004,1.35216,1.58141,0.76547,0.6846,0.74811,0.40293,1.62932,1.29105,1.97055,0.00134412,0.00134412,0.00134412
8,738.832,1.42393,1.29757,1.55854,0.79659,0.69453,0.77734,0.42404,1.61126,1.28365,1.88354,0.00132997,0.00132997,0.00132997
9,828.854,1.37987,1.27205,1.53636,0.79141,0.70051,0.78399,0.42957,1.56458,1.28639,1.86143,0.00131582,0.00131582,0.00131582
10,919.686,1.37916,1.24409,1.53268,0.7989,0.71159,0.79457,0.44138,1.53316,1.26743,1.8466,0.00130168,0.00130168,0.00130168
11,1010.22,1.36003,1.23444,1.51935,0.80693,0.71928,0.78993,0.44066,1.51362,1.1828,1.82874,0.00128753,0.00128753,0.00128753
12,1100.69,1.36041,1.21846,1.51515,0.79567,0.69902,0.77185,0.43495,1.52384,1.21318,1.83649,0.00127338,0.00127338,0.00127338
13,1190.93,1.33936,1.20847,1.50685,0.82223,0.71742,0.80978,0.45548,1.49273,1.18398,1.79707,0.00125923,0.00125923,0.00125923
14,1282.84,1.34493,1.15862,1.48929,0.80301,0.7409,0.80673,0.46341,1.47953,1.18517,1.76578,0.00124509,0.00124509,0.00124509
15,1373.52,1.32047,1.14305,1.49226,0.81277,0.72457,0.8054,0.46034,1.48731,1.13775,1.777,0.00123094,0.00123094,0.00123094
16,1464.96,1.31782,1.15944,1.49291,0.81255,0.72445,0.79583,0.45703,1.48642,1.16144,1.82021,0.00121679,0.00121679,0.00121679
17,1556.39,1.30442,1.12598,1.47603,0.82985,0.71823,0.80357,0.45587,1.48732,1.16064,1.79507,0.00120265,0.00120265,0.00120265
18,1648.44,1.29632,1.11725,1.47547,0.80241,0.72699,0.80619,0.46906,1.46667,1.13048,1.78336,0.0011885,0.0011885,0.0011885
19,1739.93,1.29308,1.09186,1.47011,0.83644,0.7269,0.81612,0.47863,1.4712,1.11939,1.77647,0.00117435,0.00117435,0.00117435
20,1831.4,1.29157,1.1098,1.46714,0.81865,0.72254,0.80228,0.4646,1.47994,1.10826,1.78716,0.00116021,0.00116021,0.00116021
21,1923.6,1.28473,1.0881,1.44884,0.83503,0.7248,0.8169,0.47503,1.48216,1.08625,1.75622,0.00114606,0.00114606,0.00114606
22,2015.4,1.26306,1.07656,1.44545,0.83006,0.75373,0.82667,0.48087,1.47143,1.04938,1.76147,0.00113191,0.00113191,0.00113191
23,2107.22,1.27092,1.064,1.44763,0.82206,0.74035,0.81596,0.47829,1.46992,1.107,1.76154,0.00111776,0.00111776,0.00111776
24,2199.4,1.26329,1.05793,1.44509,0.81434,0.7344,0.80688,0.4772,1.45269,1.1213,1.75215,0.00110362,0.00110362,0.00110362
25,2290.92,1.25177,1.04747,1.44157,0.83015,0.71933,0.814,0.48024,1.44905,1.07028,1.74807,0.00108947,0.00108947,0.00108947
26,2382.92,1.24241,1.03329,1.42043,0.80527,0.74257,0.81267,0.4793,1.4512,1.06279,1.7685,0.00107532,0.00107532,0.00107532
27,2474.37,1.22092,1.02591,1.41468,0.82061,0.74423,0.81961,0.48659,1.44993,1.05269,1.75815,0.00106118,0.00106118,0.00106118
28,2566.32,1.23907,1.0252,1.42025,0.84005,0.72795,0.81797,0.48668,1.42392,1.05356,1.74684,0.00104703,0.00104703,0.00104703
29,2662.75,1.22864,1.01551,1.41402,0.83123,0.74194,0.81719,0.48988,1.44657,1.03849,1.76122,0.00103288,0.00103288,0.00103288
30,2755.42,1.22021,1.01184,1.41071,0.80464,0.76111,0.81987,0.48392,1.43987,1.05176,1.7429,0.00101873,0.00101873,0.00101873
31,2846.46,1.20743,1.00038,1.40523,0.85315,0.73348,0.82673,0.49528,1.42444,1.02678,1.70906,0.00100459,0.00100459,0.00100459
32,2937.16,1.20665,0.98739,1.39661,0.83062,0.73615,0.82464,0.49585,1.43305,1.02029,1.71306,0.00099044,0.00099044,0.00099044
33,3028.86,1.21246,0.9925,1.40269,0.84083,0.72469,0.81487,0.48955,1.40714,1.04093,1.70269,0.000976293,0.000976293,0.000976293
34,3120.59,1.19018,0.97983,1.39818,0.82632,0.73986,0.81963,0.4885,1.41846,1.01274,1.71779,0.000962146,0.000962146,0.000962146
35,3212.15,1.2064,0.9718,1.39218,0.81849,0.74759,0.82452,0.49952,1.40895,0.99313,1.71136,0.000947999,0.000947999,0.000947999
36,3303.17,1.18592,0.96803,1.38953,0.83116,0.73873,0.8239,0.50072,1.38882,0.99869,1.70447,0.000933851,0.000933851,0.000933851
37,3394.54,1.18947,0.96629,1.39435,0.82286,0.74527,0.82537,0.49934,1.41069,1.0034,1.71114,0.000919704,0.000919704,0.000919704
