epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5935,1.46608,2.21441,1.63213,0.58563,0.40448,0.50908,0.26253,1.552,2.63683,2.19776,0.000470729,0.000470729,0.000470729
2,59.9968,1.49287,1.74332,1.60183,0.54751,0.57299,0.59248,0.30771,1.62853,2.24056,2.13903,0.000935343,0.000935343,0.000935343
3,89.238,1.54654,1.67184,1.64923,0.56614,0.57908,0.59733,0.29927,1.67093,2.10917,2.23026,0.00138817,0.00138817,0.00138817
4,121.061,1.52268,1.54029,1.61426,0.59055,0.5466,0.57971,0.26036,1.73468,1.9549,2.2219,0.00137595,0.00137595,0.00137595
5,153.075,1.50214,1.45432,1.60945,0.67781,0.59096,0.62689,0.30502,1.73471,1.69571,2.30267,0.00135826,0.00135826,0.00135826
6,184.919,1.50248,1.40352,1.61072,0.67868,0.60979,0.6503,0.35071,1.58953,1.42612,2.02309,0.00134058,0.00134058,0.00134058
7,216.698,1.464,1.32529,1.57569,0.78688,0.61031,0.67288,0.37169,1.59824,1.28373,2.02385,0.0013229,0.0013229,0.0013229
8,248.379,1.46175,1.32835,1.59203,0.81882,0.62237,0.68863,0.38018,1.54169,1.27597,1.98884,0.00130521,0.00130521,0.00130521
9,279.973,1.4125,1.24422,1.55547,0.77758,0.62821,0.69707,0.39781,1.53406,1.26338,1.968,0.00128753,0.00128753,0.00128753
10,312.845,1.42618,1.22308,1.55901,0.74948,0.62582,0.69562,0.38735,1.59476,1.23364,2.04007,0.00126985,0.00126985,0.00126985
11,345.374,1.42774,1.19435,1.54276,0.77639,0.61674,0.68531,0.38079,1.59458,1.20966,1.96228,0.00125216,0.00125216,0.00125216
12,377.213,1.38766,1.17144,1.50712,0.72953,0.66724,0.71386,0.39224,1.59413,1.25363,1.99084,0.00123448,0.00123448,0.00123448
13,409.189,1.38577,1.1724,1.5214,0.80242,0.63425,0.69677,0.40388,1.534,1.14672,1.9531,0.00121679,0.00121679,0.00121679
14,442.089,1.35528,1.1549,1.52261,0.77573,0.67195,0.70877,0.40811,1.51608,1.10181,1.93459,0.00119911,0.00119911,0.00119911
15,474.26,1.37571,1.1245,1.5089,0.82561,0.60732,0.70657,0.39532,1.52083,1.13264,1.95334,0.00118143,0.00118143,0.00118143
16,506.231,1.34318,1.11681,1.50282,0.84792,0.62726,0.70314,0.41053,1.51209,1.09491,1.91784,0.00116374,0.00116374,0.00116374
17,538.428,1.37056,1.1302,1.49993,0.77021,0.64913,0.70694,0.42176,1.49159,1.08837,1.90393,0.00114606,0.00114606,0.00114606
18,570.145,1.31499,1.09671,1.49609,0.76906,0.66506,0.7113,0.42579,1.44892,1.11119,1.89545,0.00112837,0.00112837,0.00112837
19,600.524,1.32492,1.09064,1.4918,0.73313,0.66356,0.70696,0.41935,1.46931,1.07453,1.89432,0.00111069,0.00111069,0.00111069
