epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1039,1.42198,2.22761,1.63487,0.49589,0.46292,0.52767,0.27712,1.57073,2.67616,2.18734,0.000471372,0.000471372,0.000471372
2,66.1497,1.51251,1.82065,1.62759,0.46645,0.53043,0.56735,0.27902,1.64499,2.58702,2.20662,0.000935977,0.000935977,0.000935977
3,98.9543,1.53055,1.7062,1.66727,0.59559,0.60125,0.60689,0.30597,1.58819,2.3088,2.19139,0.00138879,0.00138879,0.00138879
4,131.795,1.53248,1.61731,1.67311,0.67232,0.58347,0.62214,0.3084,1.75681,1.74497,2.36885,0.00137595,0.00137595,0.00137595
5,164.699,1.515,1.51364,1.6605,0.64798,0.56234,0.61404,0.30854,1.67237,1.8385,2.2414,0.00135826,0.00135826,0.00135826
6,197.607,1.49995,1.46184,1.6496,0.63987,0.62766,0.65544,0.35357,1.68292,1.50852,2.16111,0.00134058,0.00134058,0.00134058
7,230.716,1.46782,1.39226,1.61649,0.69294,0.6024,0.65656,0.34663,1.6251,1.56919,2.07345,0.0013229,0.0013229,0.0013229
8,263.754,1.44781,1.35488,1.58676,0.73481,0.63717,0.69379,0.38831,1.62411,1.35461,2.08055,0.00130521,0.00130521,0.00130521
9,296.646,1.41897,1.31173,1.57103,0.66128,0.64277,0.67718,0.37809,1.62361,1.38174,2.0667,0.00128753,0.00128753,0.00128753
10,329.572,1.41383,1.30106,1.57879,0.69035,0.65186,0.684,0.38336,1.5457,1.36795,2.01581,0.00126985,0.00126985,0.00126985
11,362.417,1.40256,1.27811,1.57468,0.69137,0.6615,0.6886,0.38535,1.59303,1.28687,2.07606,0.00125216,0.00125216,0.00125216
12,395.359,1.37016,1.21346,1.52726,0.66228,0.63931,0.67117,0.39663,1.52642,1.33017,1.99302,0.00123448,0.00123448,0.00123448
13,428.204,1.40423,1.24841,1.57369,0.73525,0.62315,0.68819,0.40466,1.5008,1.30077,1.9284,0.00121679,0.00121679,0.00121679
14,461.017,1.35813,1.21267,1.54509,0.70633,0.66052,0.7038,0.40208,1.55973,1.28777,2.03393,0.00119911,0.00119911,0.00119911
15,493.903,1.39757,1.21273,1.53173,0.72335,0.6562,0.70696,0.39611,1.53775,1.27448,1.95669,0.00118143,0.00118143,0.00118143
16,526.651,1.35803,1.19731,1.51866,0.70815,0.67084,0.70672,0.41472,1.52145,1.21926,1.94586,0.00116374,0.00116374,0.00116374
17,559.409,1.35208,1.15707,1.53842,0.75368,0.6483,0.71016,0.40236,1.55507,1.23758,1.97844,0.00114606,0.00114606,0.00114606
18,592.121,1.35904,1.19394,1.5459,0.75906,0.66548,0.71738,0.40187,1.56615,1.23168,2.02924,0.00112837,0.00112837,0.00112837
19,624.857,1.32255,1.15821,1.52025,0.76058,0.66971,0.71134,0.41897,1.50168,1.19861,1.92811,0.00111069,0.00111069,0.00111069
20,657.559,1.33595,1.11794,1.50145,0.72025,0.65949,0.70852,0.41445,1.52788,1.18012,1.97657,0.00109301,0.00109301,0.00109301
21,690.276,1.31516,1.09813,1.50292,0.67438,0.703,0.71821,0.40233,1.59119,1.17799,1.98217,0.00107532,0.00107532,0.00107532
22,722.886,1.28393,1.11368,1.49597,0.74162,0.66377,0.70941,0.42678,1.48018,1.17366,1.90839,0.00105764,0.00105764,0.00105764
23,755.661,1.28901,1.08128,1.47285,0.77736,0.66022,0.70878,0.40996,1.57614,1.1835,2.04488,0.00103995,0.00103995,0.00103995
24,788.684,1.31887,1.09862,1.48866,0.81384,0.6669,0.72648,0.40965,1.56544,1.2075,1.97856,0.00102227,0.00102227,0.00102227
25,821.344,1.29119,1.05523,1.47162,0.79087,0.67245,0.73217,0.41303,1.54798,1.14996,2.01561,0.00100459,0.00100459,0.00100459
26,853.973,1.25426,1.06017,1.48154,0.76035,0.69952,0.73346,0.43315,1.48523,1.12561,1.92689,0.000986903,0.000986903,0.000986903
27,886.825,1.25977,1.04689,1.45919,0.72315,0.69974,0.71728,0.41861,1.51426,1.16419,1.93971,0.000969219,0.000969219,0.000969219
28,919.582,1.24291,1.0371,1.44564,0.7442,0.67742,0.72281,0.42279,1.51003,1.1351,1.93744,0.000951535,0.000951535,0.000951535
29,952.229,1.23285,1.01566,1.44326,0.72621,0.68559,0.70949,0.41187,1.53149,1.12721,1.99162,0.000933851,0.000933851,0.000933851
30,984.971,1.25132,1.02688,1.44739,0.79688,0.67155,0.7223,0.43196,1.5057,1.11639,1.93767,0.000916168,0.000916168,0.000916168
31,1017.68,1.21015,0.99561,1.42434,0.78539,0.67719,0.73521,0.44231,1.51673,1.13663,1.92628,0.000898484,0.000898484,0.000898484
32,1050.41,1.24272,1.01202,1.43747,0.72878,0.7099,0.73205,0.4302,1.49983,1.10039,1.97581,0.0008808,0.0008808,0.0008808
33,1083.27,1.20788,0.99619,1.43206,0.77401,0.69615,0.74056,0.43995,1.47807,1.10325,1.92764,0.000863116,0.000863116,0.000863116
34,1115.91,1.20982,1.00671,1.44393,0.74706,0.7168,0.74115,0.43635,1.48894,1.08127,1.91587,0.000845432,0.000845432,0.000845432
35,1148.76,1.24643,1.00259,1.43783,0.76405,0.69547,0.73361,0.4426,1.48256,1.08079,1.92676,0.000827748,0.000827748,0.000827748
36,1181.37,1.21829,0.99163,1.43492,0.76094,0.68204,0.72157,0.42446,1.55394,1.10517,2.01385,0.000810064,0.000810064,0.000810064
37,1214.08,1.22342,0.99448,1.44314,0.7423,0.67441,0.71223,0.42937,1.47425,1.07504,1.93014,0.00079238,0.00079238,0.00079238
38,1246.78,1.20116,0.96829,1.42007,0.72553,0.70314,0.72605,0.43163,1.4996,1.06994,1.92499,0.000774697,0.000774697,0.000774697
39,1279.49,1.19856,0.93837,1.40839,0.77351,0.68877,0.72548,0.42403,1.54342,1.09267,1.9639,0.000757013,0.000757013,0.000757013
40,1312.17,1.20207,0.95486,1.4229,0.79898,0.69014,0.73258,0.43536,1.51315,1.0808,1.94142,0.000739329,0.000739329,0.000739329
41,1344.6,1.17795,0.9564,1.4068,0.79156,0.71041,0.73207,0.4275,1.50499,1.06882,1.93614,0.000721645,0.000721645,0.000721645
42,1377.33,1.18645,0.94277,1.40453,0.76884,0.69621,0.73081,0.43435,1.51543,1.07073,1.95547,0.000703961,0.000703961,0.000703961
43,1410.03,1.20039,0.94149,1.41056,0.75393,0.69847,0.72789,0.42607,1.50515,1.07765,1.93493,0.000686277,0.000686277,0.000686277
44,1442.67,1.16947,0.92937,1.40812,0.72602,0.7114,0.73355,0.43866,1.4677,1.04008,1.89829,0.000668593,0.000668593,0.000668593
45,1475.29,1.17539,0.92914,1.39469,0.77355,0.70127,0.73356,0.4321,1.51551,1.06593,1.91102,0.000650909,0.000650909,0.000650909
46,1508.01,1.1733,0.92514,1.38711,0.79935,0.69264,0.73623,0.43773,1.47559,1.05875,1.88162,0.000633226,0.000633226,0.000633226
47,1540.83,1.1613,0.90616,1.36631,0.77403,0.70467,0.74074,0.44191,1.46768,1.05306,1.898,0.000615542,0.000615542,0.000615542
48,1573.57,1.17034,0.91144,1.39176,0.81124,0.68142,0.75074,0.44613,1.47927,1.05342,1.89161,0.000597858,0.000597858,0.000597858
